x,y,p
12.3,31.1,2
13.3,30.1,2.5
15.6,33.8,2.2
15.2,33,2.4
12.9,35.9,2.2
12.8,36.1,2.3
14.6,37.9,2.1
13.2,38.8,2.3
15.9,38.1,2.2
14.2,38.6,2.3
15.6,39.2,2.3
13.1,41.3,2.4
13.3,42.3,2.1
14,44.4,2
12.2,43.6,2.4
14.7,45.5,5.6
13.5,45,7.8
15.8,46.8,6.3
14.6,48.4,7.2
15.5,50.8,5.1
12.9,51.8,6.9
13.3,50,7.6
14.8,52.2,6.4
15.7,53,5.4
13.8,54.8,6.4
15.6,55.6,5.4
13.4,57.6,7.4
13.8,57.3,7.5
14.1,59.4,5.7
12.7,60.7,5.7
14.1,60.1,6.5
13.5,60.9,7.6
12.9,63.3,5.6
15.3,64.2,5.7
12.1,64.5,6.9
12,66.9,5
15.8,65.4,6.2
15.2,67.2,7.6
15.4,68.7,7.4
12.6,68.3,7
12.4,70.2,5.3
13.6,72,7.8
15.7,73.2,6.5
13.9,73.5,7.4
13.8,73.6,6.7
14.5,74.3,7.3
13.8,76.7,6.7
12.7,77.7,7.9
14.9,79.4,5.8
13.5,78.3,6.7
15.7,80.9,7.8
14.3,80.1,6.4
15.7,83.3,6.4
15.5,82.9,5.1
13.5,85.4,5.5
13.1,85.5,5.8
15.7,86.2,5.4
14.4,86.1,7
15.2,90,5.9
15,88.4,7.6
13.3,91.4,6.9
12.4,92,5.5
15.9,93.4,5.4
14.7,93.3,7.4
14.5,94.1,7
14.4,96.1,5.9
13.6,97.8,6.9
12.8,96.1,7.1
15.7,98.8,7.2
14.7,98.6,5.2
14.8,101.9,5.2
13.7,2.3,7.3
13.8,3.9,7.8
16,2.7,7.7
13.7,3.3,6.9
16.5,6.3,2.3
16,5.1,2.1
14.8,7.8,2.1
15.8,8.6,2.4
15.9,8.3,2.4
14.5,9.3,2.5
15.8,12.7,2.2
15.3,13.7,2.4
14.4,13.7,2.3
14,14.1,2.5
15.2,14.6,2
16.3,16.2,2.2
16.1,16.3,2.4
15.5,17,2.1
13.5,20.5,2.4
13.8,20.9,2
15.6,20.7,2.1
13.2,22.6,2.2
14.1,24.2,2.1
15.1,23.9,2.5
13.2,26.6,2.2
16.8,26.7,2.5
13.5,28,2.5
16.4,28.4,2.4
13,30.1,2.5
13.3,30.7,2.2
14.2,32.6,2.1
13.1,31.6,2.3
15.4,33,2.2
14.3,33.2,2.5
13.8,34.2,2
16.1,35.6,2.4
16.6,38.8,2.5
15.9,38.4,2.2
15.7,39.2,2.2
14.6,41.6,2.3
14.5,40.3,2.1
16.1,41.1,2.3
13.1,42.4,2.5
16.9,43.5,2.1
15.8,46.9,6.3
15.1,46.4,7.9
16.9,46.2,7
15.4,47.7,7
14.3,50.4,6.5
14.2,49.2,6.9
15.5,52.9,6.1
15.1,53.3,7.8
13.5,54.1,7.3
13.7,56,7.1
14.3,55.9,7.4
15.9,56.2,5.4
13.2,57.6,7.2
15.5,59.8,6.2
14.7,60.3,7.5
13.2,61.9,6.2
16.4,61.8,6.7
13.5,63.6,6.6
16.7,62.9,5.7
15.5,63.7,5.5
13.6,66.3,6.9
14.3,66.2,7.8
16.9,68.7,5
13.9,67.3,5.2
15,68.9,5.1
13,69.4,6
14,70.8,7.7
14.3,73.5,7.5
14,74.9,5.6
14.2,74.8,6.6
16.8,76.6,5.2
14.1,75.1,7.4
13.7,76.5,6.9
15.2,77.5,5.8
16,80,6.6
15.5,81.1,6
14.9,82.5,7.5
13.5,81.6,5.2
14.4,83.2,5.7
15.2,85,5.1
15.6,85,7.8
15,87.8,6.8
16.9,87.8,6.5
16.2,89.8,5.6
14.6,89.6,7.6
13.6,89.9,6.8
16.4,91.8,6.1
13,92.9,7.9
14.3,92.2,7.8
13.6,95.3,5.5
16.1,95.9,6.7
15.6,97.1,6.7
16.9,97.3,5.8
17,99.8,6
15.4,100.1,6.7
16.6,99.8,7.4
17.9,2.1,5.2
14.9,1.1,5.7
17.9,4.9,2.5
16.7,5.1,2
17.5,6,2.5
14.8,7.7,2.1
16.7,7.8,2.2
15.7,9.6,2.2
15.2,10.6,2.1
15.5,10.4,2.4
15.4,10.8,2.3
16.7,13.6,2.2
15.7,14.1,2.4
14.1,14,2.5
17.6,15.6,2.2
17.4,15.7,2.4
16.7,18.9,2.1
16.8,17.8,2.1
14.2,18.7,2.1
15.9,20.3,2.3
16.2,21.8,2.1
14.1,22.1,2.2
16.9,24.4,2.2
17.5,23,2.3
15.3,25.2,2.4
14.1,25.4,2.1
16.5,27,2
16,28.5,2.1
16.4,29.5,2.4
17.1,29.3,2.5
16.9,32.4,2.3
18,31.6,2.2
16.6,33.1,2
17,35.8,2.4
17.3,36.3,2.2
15.8,36,2.1
16.7,36.4,2.3
17.4,37.2,2
14.4,38.7,2.5
17.2,40.7,2.1
17.7,42.1,2.3
15.9,43.9,2.4
17.2,44.4,2.3
14.9,44.4,2.4
18,44.8,2.3
15.9,45.2,2
14.8,48.2,6.8
17.5,48.8,5.6
14.5,48.9,5.9
17,51.4,7.6
17.7,50.3,5.8
15.1,53.2,6.8
17.6,52.1,7.7
16.5,53.2,7
15.4,56.6,7
17.1,56.5,7.8
16.7,57.6,6.1
16.6,59.7,5.2
14.5,59.2,6.7
17.4,59.7,5.6
16.5,62.1,7.4
14.2,63.4,7.7
17.5,62.3,6.5
17.7,64.1,6
15.5,64.7,6.1
14.2,65.6,5.8
16.2,67.5,5.9
15.2,67.2,6.1
17.6,70.4,5.3
16.5,71.6,5.8
16.6,71.7,7.1
17.7,73.6,7.7
16.7,72.8,6
17.2,75.6,5.1
14.5,74.8,5.4
14.4,75.8,6.2
17.1,78.3,7.5
15.8,79.8,6.2
15,79.9,8
15.8,80.4,5.9
14.1,82.6,6.3
15.8,82.1,7.9
18,84.3,5
14.3,83.6,5.3
15.7,85.1,6.1
15.8,87.4,5.9
17.9,86.4,6.6
17.3,87.7,5.7
14.3,90.7,7.1
14.6,91.4,5
16.5,92.9,6.7
15.3,92.5,5.5
16.1,93.4,5.5
14.8,93.7,5.6
15.6,94.2,7.9
15.5,96.4,5.8
17.7,98.4,6.7
14,97.9,7.1
17.1,100.1,6
14.7,101.7,5.4
18.6,2.1,5.7
18.7,3.4,6.8
15.4,3.6,5.6
18.5,4.5,2.4
17.7,5.6,2.2
15.8,6.6,2.1
17.9,7.6,2.2
16.6,9,2.3
17.2,9,2.1
18.7,11.2,2.1
17.6,11.6,2.2
16.1,11.1,2.3
16.7,13.8,2.3
18.8,14.3,2.4
17.3,14.9,2.4
16.8,16.6,2.2
15.6,16,2.1
16.7,19.5,2.2
15.3,20.9,2.5
16.6,20.9,2.4
17.7,20.8,2.4
18.9,22.5,2.2
17.7,23.9,2.4
15.9,23.6,2.4
16.2,25.6,2.5
18.2,25.6,2.4
15.5,27,2.2
18.1,27.5,2.4
16.7,30.2,2.1
17.5,29.7,2.4
17,30.8,2.4
17.5,31.1,2.4
17.2,33.8,2.4
18.9,35.6,2.4
16.7,36.2,2.1
15,35.1,2
16.8,37.6,2.2
17.8,39.1,2.4
17.2,40.7,2.2
16.7,39.5,2.1
18.6,40.5,2.3
16.5,43.3,2.3
18.5,42.9,2.4
15.8,44.5,2
15.2,45.1,5.5
15.9,45.7,5.5
18.1,47.6,5.6
16,47.1,7.8
18.1,48.7,5.6
17.2,51.6,5.3
17.5,51.4,7.1
16.5,51.3,7.9
15.7,53,6.7
17.8,55.7,7.2
18.8,56.9,6.3
18.4,57,5.4
15.2,58.8,6
18.4,58.4,8
16.7,58.5,5.8
16.8,59.1,7
15.8,62.8,5.2
15.1,61.8,6.3
16.2,62.7,5.5
15.2,64.5,7
19,65.5,6
18.2,65,6.5
15.8,67.1,6.6
15.1,68.1,7
16.2,70.2,7.3
15.9,69.7,5.8
15.1,71.2,7.2
18,71.8,5.6
18.3,73.6,7.9
18.3,73.2,7.1
16.4,76.3,7
16,75.5,7.7
17.3,76.8,6
17.1,80,7.4
17.9,80.2,6.1
18.2,80.2,7.6
15.8,82.8,5.2
16.6,82.3,6
17.6,85,6.3
18.2,84.4,7.3
15.6,86.4,6.6
18.8,87.6,6.8
18.5,87.4,5.5
18.5,89.2,8
16.7,89.1,6.4
16.1,90.7,6.6
18.8,90.1,5.9
15.9,93.3,7.3
15.2,92.7,5.6
17.2,95,7.5
17.3,94.3,5
16.3,95.6,5.9
18.6,97.4,6.8
18.4,99.9,6.7
16,98.3,5.2
17.1,99.2,7.1
18.5,2.7,7.2
16.3,1.4,5.6
19.8,4,5.2
17.7,4,5.7
19.2,4.6,2.3
16.9,7.5,2
17.4,6.2,2.4
17.6,9.7,2.4
17.8,10.6,2.2
16.2,9.1,2.4
19.7,12.7,2.4
17.6,11.1,2.4
17.8,13.4,2.1
17.5,13.2,2.3
19.4,15.5,2.3
17.8,17.2,2.4
17.3,17.4,2.1
16.2,17.4,2.5
19.5,19,2
17.8,20.5,2
16.8,20.2,2.4
16.1,23,2.5
18.6,23.3,2.4
17.6,25.7,2.1
19.6,26.2,2.2
17.3,27.4,2.2
18.6,26.7,2.3
17.8,27.4,2.2
18.9,30.4,2
19.2,29.3,2
19.8,32.8,2.2
16.1,31.7,2.3
18.3,32.7,2.1
19.7,35,2.4
16.3,35.9,2.3
16.7,37,2.2
18.8,38.1,2.4
19.9,38.1,2.1
17.8,40.9,2
16.6,41,2.2
17.7,40.8,2
16.9,43.7,2.1
19.9,43.8,2.2
18.2,45.4,2.2
16.3,46,6.8
18,46.5,5.5
17.3,47.7,5.4
19,48,7.8
19,50.7,5.2
18.2,50.6,6.6
19.9,52.9,5.2
17.1,52.4,6.4
17.8,54.9,5.2
19.5,55.5,6.5
18.1,56.2,5.5
18.9,57.3,6.2
18.7,58,6.3
19.6,58.2,7.9
16.4,60.3,7.4
19.1,61.8,5.9
17.8,60.8,6.9
16.4,61.9,7.4
18.5,62.1,6.8
16.8,63.3,6.5
16.3,64.7,5.4
18.7,66.4,7.9
18.8,68.6,6.2
19.4,69.2,5.6
16.7,68.5,6.3
19.6,71,5.1
16.3,70.4,7.1
16.1,71.2,7
18.5,72.1,5.2
18.1,73.8,6.8
16.7,75.6,6.7
17.5,76.7,7.4
17.1,78.2,5.3
16.3,78.7,7.1
18.1,78.2,7.1
18.7,81.3,7
16.2,82.2,7.7
18.7,83.2,5.9
17.6,84.4,6
17.2,85.6,5.8
16.1,85,5.2
18.8,85.9,6.1
19.5,87,6.4
17.2,89.2,5.8
19,88.2,5.5
16.7,91.5,5.9
18.6,92.1,7.1
19.9,93.1,6.6
18.4,94.3,7.6
19.2,93.6,5.3
18.4,95.4,6.5
19.1,96.6,6.2
19.7,98.2,7.4
18.2,98.9,6.2
19.5,99.8,7.3
18.9,100.4,6.5
17.1,2.6,6.1
19.1,1.9,7.9
18.8,4.8,2
19.3,5.9,2
17.6,6.4,2.4
19.6,7.5,2
20.1,6.8,2.1
20,9.6,2.3
18.9,8.8,2.2
20.2,9.1,2.4
18.6,12.8,2.2
17.2,13.6,2.2
20,14.8,2.1
20,15.5,2.4
17.7,15.9,2.2
19.5,16.9,2.3
19.3,18.6,2.3
17.8,17.9,2.4
20.4,19.9,2.3
19.2,21.7,2.1
19,21.8,2.4
19.8,22.9,2.3
18.3,23.3,2.2
19.7,23.2,2.3
19.2,25,2.1
20,25.8,2.3
18.5,26.8,2.3
19.1,30,2.4
17.8,30.2,2.1
17.8,31.8,2.3
19.8,31.2,2.1
17.9,33.5,2.3
20.4,33,2
19.4,35.8,2.3
19.8,35.3,2.3
18.9,35.7,2.1
19.6,38.8,2.4
18.5,37.7,2.3
20.9,38.3,2
19.9,40.3,2.1
18.6,40.3,2.4
20.3,42,2.1
18.7,42.6,2.3
19.8,43.7,2.3
17.9,45.5,2.4
17.8,47.6,6.7
20.8,47,7.5
20.3,48.8,6.4
20.5,48.1,7
19.2,51.1,6.4
20.4,51.3,6.6
18.4,53.8,6.5
19.3,53.4,6.1
17.3,54.1,5
18.8,55.3,6.7
17.3,56.5,7.9
17.3,57.4,5.6
18.8,57.4,6.2
19,58.6,5.8
17.5,60.2,5.9
20.6,61.1,7.9
17.8,61.5,6
17.6,63.7,5.3
19,64.2,5.2
20.1,65.1,6.8
17.2,65.7,5.3
18.6,66.9,7.1
17.7,68.7,5.9
20.6,68.3,6.5
20.3,71.1,6.9
19,72.8,5.3
19.2,71.2,6.1
20.5,74.1,5.7
18.6,76,7.5
17.8,75,7.9
17.4,76.6,7.9
17.9,76.7,5.4
20.3,79.8,8
20.2,78.5,5.9
18.9,79.7,7.5
19.6,80.2,7.1
17.5,82.4,6.9
17.7,83,7.9
20.9,84.7,6.3
17.2,86.1,5.2
19.8,86.2,7.9
19.8,87.4,5.9
20.2,89.9,5.6
18.4,88.9,7.5
17.4,92,5.2
19.4,91.6,5.9
20.3,92.7,5.2
20.3,94.4,6.2
18.5,93.9,7.6
20.9,95,5.3
17.2,95.5,6.8
19.2,96.9,7.6
17.2,97.9,7.6
17.2,98.9,7.4
18.6,100.1,7.1
20.8,0.9,5.4
19,3.3,6.4
18.8,2.4,7.4
18.2,3.2,5.7
21.8,6.8,2.4
18.4,5.7,2.3
20.7,8.4,2.2
21.5,9.4,2.3
20.9,10.3,2.3
20.6,9.9,2.1
18.8,10.4,2.4
19.4,12.6,2.5
21.6,12.5,2.1
19,15.1,2.2
19.3,14.8,2.4
19.5,15,2.2
19.9,18.7,2.1
20.9,17.4,2.3
21.2,20.7,2.3
18.5,21.2,2.2
18,22.5,2.5
19.3,21.7,2.1
21.7,22.2,2.5
18.7,23.9,2.3
20.6,24.1,2.1
19.6,25,2.5
19.3,27.7,2.1
21.5,28.6,2.3
19.9,29.1,2.3
20.8,30.8,2
19.3,32.8,2.2
20.4,33.3,2.5
20.9,32.5,2.1
19.1,35.7,2.1
21.4,36,2.3
20.6,35.6,2
21.1,37,2.2
21.6,37.2,2
18.4,40.1,2.1
20.8,40.5,2.2
19.5,42.6,2.2
21.3,41.3,2.1
21.9,43.3,2.5
19.9,45,2.4
19.6,44.4,2.2
18.7,46.6,6
21.3,46.6,7.4
18.1,47.1,5.7
21.3,50.8,5.8
19.2,49,6.9
20.9,51.5,6
18.8,52.8,8
21.2,53.8,5.7
18.5,53,6.4
19,56.9,6.4
20.3,56.5,5.1
19.3,57.9,5.4
20.3,59.8,6.3
19.5,58.8,6.6
18.2,59.8,5.3
21.7,61.3,5.9
21,62.2,5.8
18.3,64.4,7.6
21.5,64.7,6.2
20.2,67,6.2
21,65.1,6.9
19,69,5.7
20.6,67.2,6.9
21.5,68.7,5.8
21.8,70.7,5.6
20.1,70.5,6.9
18.9,71.2,5.2
19.8,74.8,6.8
18.9,73.4,5.9
19.5,75.8,5.9
18.4,76.8,7.1
21.7,77.7,6.1
21.3,79,7.8
19.9,80.4,7.2
19.8,79.7,6.9
18.8,82.6,5.7
18.2,81.7,7.8
18.8,83.3,6.5
20.5,83.8,5.9
19.2,85,7.8
19.8,87.8,5.2
18.7,87.7,7.7
21,88.8,7.2
20.8,90.1,6.2
20.5,89.8,7
19.3,92,7.4
18.4,93.4,5
20.7,93.4,6.8
21.4,95,5.6
22,94,6.6
21.7,96.6,5.1
21.2,97,5.2
18.1,99.9,6.7
19.8,99.6,7.6
18.8,99.8,5.1
19.7,0.1,7.9
22.4,3.6,5.9
22.8,3,7.7
19.6,5,2.4
19.5,5.7,2.4
19.7,5.3,2.4
20.3,8.3,2.1
20.7,8.5,2
22.1,8.8,2.3
19.2,11.5,2.1
19.7,11.7,2
19.6,12.7,2.1
20.8,14.3,2.2
22.3,13.4,2.3
22.2,16.1,2.1
20.5,15.2,2.5
19.3,17.5,2.2
19.3,17.6,2.4
22,18.9,2.3
19.6,21.6,2.1
19.6,21.3,2.1
21.5,21.4,2.2
22.6,22.9,2.2
22.5,24.8,2.4
21.9,26.2,2.4
22.5,26.2,2.2
20,26.7,2.1
21.9,28.6,2
20.6,31,2.3
22,31.4,2.3
20,31.2,2.5
20.9,33.5,2.4
19.9,32.9,2.3
22.4,35.9,2.1
20,34.5,2.3
21.2,36.7,2.1
21,38.5,2.4
22.5,39.8,2
21.1,40.5,2.4
20.2,39.6,2.3
21.2,40.7,2.2
20.7,43,2.2
20.6,44,2.5
22.9,44.3,2.5
22,46.7,6.7
21.6,45.4,2.2
21,48.1,5.8
21.5,49.3,6.9
22.9,48.8,7
19.1,49.5,5.1
21.9,51.9,6.8
19.7,52.9,7.8
22.9,52.2,7
19.9,53.8,7.7
19.2,54.9,6.2
23,57,7.5
22.9,57.9,7.9
22.3,58.7,6.5
21.8,60.3,7.6
22.9,61.3,7.1
22.7,60.6,6.9
19.7,61.7,6.1
22.3,62.6,6.6
21.8,63.4,5.8
20.7,64.6,5.9
21.4,66.3,7.6
21.1,66.4,5.9
20.6,67,5.6
22.7,70.9,6
21.9,71.5,7.1
19.1,71.5,5.4
21.5,72.1,5.3
21.8,74.7,5.7
21.5,74.9,6.9
22.6,75.2,5.5
20.4,77.6,6.5
22.4,77.9,5
19.1,78.7,7.6
21,78.9,6.7
19.4,79.3,5.7
19.3,81.8,7.3
20.6,83.9,7.7
22.3,84.5,6.1
21,85.2,6.2
20.4,85.1,5.2
21.8,86.6,7.6
22.8,88.6,7.9
22.9,87.4,7.4
20.4,90.9,7.6
22.7,90.3,6.1
19.3,92,5.2
20,92.2,6.4
23,92.8,6
22.7,95.5,5.1
21.4,96.6,5.2
19.8,97,5.4
20.5,97.7,7.5
21.4,97.5,6.4
20.5,99.2,6.1
22.8,100.2,5.4
23.1,0.6,6.4
22.4,1.1,5.7
21.4,2.9,8
22.8,5.6,2.5
20.9,6.9,2.5
21.4,7,2.3
20.8,6.6,2
22.6,7.6,2.3
21.4,8.1,2.3
21.3,11.8,2.4
23.2,10.5,2.4
21.8,13.8,2.4
21.4,15,2.2
22.1,13.7,2.4
23.4,14.2,2.4
20.5,15.3,2.1
20.7,17.6,2.3
22.3,19.1,2.1
22,18.2,2.4
23.6,19.3,2.4
20,21.1,2.2
23.9,22.3,2.4
22.6,22.8,2
20.6,24.9,2.5
20.3,26.2,2.2
21.8,25.3,2.2
21.7,27.7,2.5
21.4,29.8,2.3
20.7,29.6,2
21.6,31,2.2
22.1,30,2.4
22.9,31.4,2.2
23.8,32,2.2
23.7,34.5,2.1
20.9,35.8,2.5
21.6,36.4,2.4
23.9,37.2,2.1
23.4,37.7,2.4
21.8,39.1,2.2
22,41.8,2.4
23,42.1,2.1
22.9,41.3,2.3
23.8,43.1,2.1
20.1,43.8,2.1
21.2,44.1,2.2
23.3,47.4,5.7
22.9,46,7.7
21.6,49.8,7.9
22.4,49.7,6.1
23,52,5.1
23.7,51.4,7.4
22.8,52.9,7.2
22.4,54.2,5.7
20.5,54.4,5
23.9,54.3,7.5
24,57.3,7.5
23.5,56.8,5.4
22.4,58.8,5.7
22.9,60,6.4
22.7,59.2,7.5
23.4,61.7,5.8
21.7,62.5,6.2
21,64,7.5
21.2,64.9,5.6
22.2,64.6,6.5
22.6,65.7,6.8
23.9,67.6,7.8
20.6,67.7,7.4
20.5,68.4,8
20.4,70.5,7.6
23.7,71,7.6
20.7,71.2,7.4
21.7,74.3,7.1
20,75.6,5.9
22,74.7,5.1
22.6,75.3,6.3
21.6,78,6.6
23.1,79.6,5.3
21.6,78.1,6
24,80.3,7.7
20.9,80.7,6.7
22,81.1,6.6
23.8,83.7,5.3
23.9,85.4,5.2
23.6,84.2,6
23.7,87.6,7.9
20.7,87.2,8
22,87.8,7.7
22,90.6,6.3
20.9,89.3,5.5
20.6,92.2,6.5
22.4,91.1,7.9
23,92.6,5.4
22.4,94,5.3
22.1,95.2,6.8
21.9,95.4,7.1
21.4,98.2,5.5
21,98.9,5.4
21.5,100.3,5.8
23.6,101.8,6.4
22.9,0,5.1
22.1,1.3,6.8
24.3,4.1,6.9
25,5.5,2.1
22.8,6.5,2.1
24.9,6.7,2.3
23.5,8.4,2.1
24.6,9.8,2.4
21,9.2,2.4
23.9,11.3,2.1
23.5,12.9,2.1
23.8,12.3,2.4
22.1,13.1,2.2
24.4,14.7,2.4
21.4,16,2.5
23.5,17.6,2
23.3,16.6,2.4
23.7,18.6,2.1
21.8,19.6,2.1
21.1,19,2.3
21,21,2.3
24,21.7,2.5
21.4,24.4,2.2
23.4,23.3,2.4
21.4,24.8,2.4
23.1,25.6,2
23.5,28.2,2.5
22.6,29,2.2
23.1,28.6,2.4
21.9,30.2,2.2
21.9,31.2,2.5
23.6,31.5,2.1
23.8,34.9,2.1
21.4,34.7,2.4
25,36.5,2.1
24.2,36.2,2.3
21.6,36.5,2.3
24.4,37,2.3
23.4,38.7,2.2
22.1,39.3,2.3
23.4,40.4,2
23.6,42.5,2
24,44.9,2.5
22.1,44.9,2
21.4,45.7,7.8
24.3,45.7,7.5
22.9,48.1,6.1
23.8,49.1,5.1
24.5,50.5,6.4
21.5,51.5,7
23.5,51.1,7.5
24.6,53,5.2
24.2,52.3,5.4
23.7,54.9,7.7
24.4,54.9,6.2
24.4,55.4,7.2
23.1,57.3,6
22.6,57.5,7.6
22.9,58.3,5.1
21.4,61.2,5.7
24.8,60.6,7.5
24.9,62.7,5.7
22,64,5.2
21.8,65,7.9
23.1,64.3,6.6
23.1,66.7,7.1
23.4,68.6,7.6
22.6,67.8,5.7
24.3,70.6,6.9
21.5,69.9,6.7
21.9,72.3,6.4
24.7,73.5,7.2
22.4,74.4,7.9
24.4,74.9,6.1
22,75.6,7.8
21,76.6,7.5
24.7,78.4,7.3
21.5,79.2,7
24,79.5,5.1
22.1,80,5.9
24.9,82.3,7.2
22.7,83.7,7.5
22.4,83.5,7.1
21.7,85.6,6.5
23.1,85.7,5.1
22.1,86.7,5.7
23,87.5,8
22.4,87.5,7.9
23.7,90.2,6.9
23.9,89.9,5.7
23.7,91,7.6
24.8,91.2,5.9
21.2,92.1,7.6
21.5,95.5,6.4
24.9,95.5,6.3
22.6,95.3,6.2
24.4,98,5.4
21.7,97,7.9
24.5,100.7,7.7
22,101.6,7
25.8,0.6,6.7
24.2,1.8,5.5
23.1,4.8,2.1
23.1,3.6,7.5
25.3,6.9,2.2
24.8,8,2.3
22.9,7.3,2.5
23.5,7.6,2.4
25.3,10.3,2.3
23.7,10.6,2
24.5,10.1,2.3
24.3,12.7,2.4
22.1,12.7,2.5
24.3,14.2,2
22.6,14.6,2.2
24.4,17.8,2
24,17.2,2.2
22.5,19.1,2.2
23.4,20,2.3
24.1,21,2.3
25.2,20.3,2.3
24.1,21.7,2.1
22.4,23.6,2.2
23.8,24.3,2.4
26,26.1,2.4
22.3,25.9,2.2
25.2,27.2,2
24.3,27.9,2.1
24.6,30.2,2.3
22.8,30.7,2
22.3,30.1,2.5
24.9,32.9,2.4
24.4,32.2,2.3
23.7,34.9,2.1
25.5,34.2,2.2
23,37,2.1
22.8,39,2.5
22.4,39.9,2.2
25.3,39.4,2.3
23.9,40.7,2
25.7,41.5,2.1
24.4,41.1,2.1
23.9,42,2.1
25.7,45.7,6.7
24.7,44.8,2.3
25.5,47.4,6.2
25,47.9,5.9
25.2,47.3,6.6
25.6,50.5,5.8
24.7,51.1,7.5
24,52,6.9
22.9,51.4,6.5
24.5,54.8,6.4
23.6,54.9,5.3
22.9,55,7.8
22.3,55.8,7.6
24.3,56.3,5.3
22.1,58.2,6.4
25.6,60.1,7.7
23.5,61.3,7.7
22.6,60.5,5.1
24.9,61.8,5.4
25.8,64.7,5.8
22.2,63,6.2
23.9,65.3,7
22.2,67.1,7
25.1,66.4,7.8
23,68.7,6.5
24.2,68,6.4
22.7,69.9,5.5
23.9,71.7,6.4
24,72.6,5.8
25.3,74.4,5.7
22.7,74.9,7.2
23.9,75.5,7
22.5,75.6,5.2
24.2,77.6,7
22,77.5,8
25.9,79.5,6.4
25.9,80.7,6.2
24.2,81.4,6.9
25.3,83.7,6.5
23.9,82.1,7.1
23.3,84.3,7
25.4,86.2,7.9
23.2,86.8,7.4
25.8,88.9,5.5
23.3,87.8,7.4
23.3,88.8,6.3
23.7,89.7,6.9
24.4,91,5
22.2,93,8
23.8,92.5,5.7
25.8,94.8,6.3
25.6,97,6.1
24.4,95.6,7
25.5,99,6.3
24.6,99.7,5.5
24.6,100.9,6.2
25.4,99.5,7.7
26.1,2.8,7.5
25.6,2.8,5.1
23.7,3.9,8
26.8,5.4,5.1
24.4,5.9,2.5
25.7,7.2,2.2
26.4,6.1,2.4
25.7,7.5,2.5
24.1,8.2,2.4
23.9,9.7,2.3
24.5,12.6,2.5
25.3,13.2,2.4
23.7,12.6,2.4
25.7,15,2.2
24.2,16.6,2.5
25.9,16.4,2.4
23.8,18.1,2.1
25.9,19.8,2.2
24,18.9,2.4
26.7,19.1,2.2
24.7,20.5,2.4
25.8,21.4,2.5
24.4,22.2,2.1
26.6,23.3,2.2
25.1,26.9,2
26.1,26.8,2.1
25.1,27.1,2.2
26.5,27.4,2.2
25.6,30.5,2.1
24.1,31.6,2.3
24.5,31.9,2.4
24.3,33.1,2.3
24.4,34.5,2.4
24.3,34.6,2.1
24.4,35.7,2.1
26.8,36.1,2.4
24.7,37.7,2.2
25,37.3,2.5
26.2,39.2,2.3
23.9,40,2.4
23.4,40.5,2.1
23.1,42.6,2.1
26.3,44.1,2
25.2,44,2.3
24.9,44.1,2.1
26.4,47.7,7.8
25.1,46.3,7.4
26.2,48.3,6.8
23.4,49.8,5.1
23.1,49.5,8
24.2,50.6,7.7
24,52.7,5.8
25.9,53,6.7
24.4,54.7,6.2
24.1,54.1,5
23.9,55.2,7.8
26.1,56.4,7.3
26.4,57.6,6.5
25.9,59.1,6.5
26.6,61.2,6.5
26.2,60.9,5.4
23.9,62.1,6.8
23.8,62.9,7.2
25.7,63.2,5.6
26.5,65.7,7.2
24.5,66.1,7
23.6,66,5.6
24.4,68.8,6.2
23.9,68.4,6.5
24.9,71.6,7.3
24.1,71,6.5
26.8,72.6,7.2
24.1,74.2,7
26.5,73.3,6.4
26.4,75.2,5.6
25.6,75.4,5.4
25.4,77.1,6.3
24.6,77.9,7.5
25.6,79.1,7.4
24.4,81,6.2
25.7,80.7,6.1
27,82.7,7.7
24.9,82.6,6.9
25.8,85.3,6.5
25.8,84.3,7.8
25.4,85.7,5.9
24.8,88.8,6.7
25.4,88,7.9
26.6,88.6,5.6
25.2,89.1,7.6
24.5,91,7.6
24,92,5.3
23.5,94.6,6.5
24.6,95,5.1
26.3,95,5.6
25.3,95.9,5.2
25.1,98.3,6.4
26.3,98.3,5
26.7,99.6,6.7
25.6,100.4,5.4
26.6,0.8,6.9
27.7,1.1,5.7
26.4,3.6,6.6
25.7,4.1,6.1
25.1,4.9,6.5
26.7,6.9,2.1
26.3,6.5,2
24.9,10,2.4
25.7,10,2.1
24.8,11.3,2.4
27.2,11.3,2.4
24.3,13.9,2.1
26.7,13.1,2.4
26,15.6,2.5
26.7,15.2,2.4
26.1,17.9,2.2
25.9,18.2,2.5
24.7,19,2.2
25.7,19.4,2.1
25.5,19.8,2.2
25,22.5,2.2
24,21.8,2.4
25.2,24.7,2.5
26.2,25.7,2.1
26.7,24.5,2
25.4,27.5,2.2
26.9,28.1,2.4
27.7,29.3,2.1
24.5,30.6,2.1
26.1,31.9,2.3
25.3,31.1,2.5
24.7,33.3,2.2
27.4,33.1,2.2
26.6,34.8,2.5
24.1,36.4,2.5
24,35.1,2.5
24.9,38.3,2.4
24.1,38.3,2.2
27,38.8,2.2
24.4,41.2,2
25.5,41.6,2.4
26.7,42.3,2.1
25,43.1,2.2
25.5,43.8,2.3
26,45.5,6.3
25.9,45.3,5.8
26.2,47.3,5.4
26.6,47.8,6.2
26.4,50.9,5.8
26.8,51.9,8
26.8,51.1,5.1
26.7,52.4,6.6
25.8,52.2,7.4
24.8,54.8,7.1
24.9,56.3,5.6
26.2,55,6.6
